epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,drop_audio_rate,drop_text_rate,optimizer_steps
1,1.5486224726100049,0.5263846220281058,0.5326406697031151,0.48802972038234255,0.0005,41.94858984375,0.17904776005231274,0.18045428187190782,634.0
2,1.2036900801010952,0.6851241810711775,0.6943638698996967,0.6558652574505486,0.0005,10.265197265625,0.18179911413801186,0.17867762273136667,634.0
3,1.1030191271396657,0.7294666321205168,0.7392564038270001,0.7019337266163922,0.0005,10.290091796875,0.18049129560400243,0.1813426114421784,634.0
4,1.0424231672988262,0.756980172977508,0.7650638454066602,0.7332451782655097,0.0005,10.278166015625,0.18060233680028623,0.18005946872956533,634.0
5,1.0095750213623917,0.7720694377614095,0.7793258022972573,0.750770698937812,0.0005,10.4043984375,0.17857891944578105,0.18062701262168265,634.0
6,0.996352762537993,0.7779176074323574,0.7845550827206542,0.7569140197255217,0.0005,10.201349609375,0.1767405707517489,0.18271211952967883,634.0
7,0.9739810897941259,0.7889600375072485,0.7955105038679207,0.7698826708304133,0.0005,10.013427734375,0.18189781742359748,0.1777892931610961,634.0
8,0.9604012697147862,0.7933893474479031,0.7994763651808402,0.7749794543653732,0.00025,10.07516015625,0.18068870217517366,0.17862827108857385,634.0
9,0.8966921568019826,0.8211002948760657,0.8273360797294793,0.804958320148054,0.00025,10.9606494140625,0.18014583410445276,0.17877632601695229,634.0
10,0.8733845804608674,0.8325128622719029,0.8381141751697765,0.8177813506161665,0.00025,9.925095703125,0.18005946872956533,0.1803679164970204,634.0
11,0.853339404015904,0.8404831525829416,0.8455498718812288,0.8264011546923895,0.000125,9.9954560546875,0.18282316072596266,0.18056532306819162,634.0
12,0.811468763784795,0.8611368150917323,0.8657688882057293,0.8495311685336517,0.000125,10.1379072265625,0.1798127105156013,0.17907243587370913,634.0
13,0.7902274177943113,0.8702668690084021,0.8745582082785485,0.8614555906829429,0.000125,10.1848779296875,0.1808367571035521,0.180343240675624,634.0
14,0.7682682246341516,0.8809514996730453,0.8846691103402186,0.8726664839380434,6.25e-05,10.2706376953125,0.1815523559240478,0.18120689442449817,634.0
15,0.7433450380758131,0.8929069351396035,0.8965242564409712,0.8866988817101796,6.25e-05,10.1670859375,0.18178677622731368,0.18004713081886714,634.0
